cause,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2330.TW,,14.786841338305157,20.69128831110865,10.333548646045475,20.725755673681828,8.09957422419281,13.862482790325775,14.037619971683274,0.060445763929295626,0.014158144136836266,0.3308849720694902,3.4555411164813323,0.9215636498783678,21.660748553489924,6.038681862871238
3711.TW,0.05545424430668112,,24.045500742024153,1.3337913760841003,22.39571431448874,0.816570969140427,6.393859188982336,6.04034804894495,0.468677569448767,0.4488304022695971,0.8684304260771217,2.570748951467094,0.16736597266368533,29.98914354149435,9.9313758883156
6239.TW,1.9744926256554765,4.230383570857035,,0.5489082916672228,9.585087229697693,0.5937816009612261,2.682726467690508,3.1455766375254766,0.354887808017786,0.6330082700618553,0.3191341556808241,2.0459940447596403,1.8492576035632902,24.749752482412102,13.731423797647887
2449.TW,0.30854672733523353,4.596590142828969,4.87718288462093,,8.497956015427338,0.04243095225684217,0.22974649372583872,1.1109642436247475,0.04898118434914587,1.4208811933277878,0.005446091551882329,1.0110778417767046,3.253838518936243,21.316351474010474,8.883561194230612
3264.TWO,0.09460240384366816,2.452326958082213,2.7548725597808343,0.8131920716169402,,0.1954594416421923,0.9938365646741635,0.037239703966270625,1.3567856731964167,0.0004879746107943639,0.047609479397056946,0.965656488464233,0.25010112596519524,18.792528698298646,2.761608012286909
3037.TW,0.0006635762956184047,3.727199510244005,5.132304599308597,0.03148835284850899,4.177644610599664,,12.255189174712942,7.918999750322403,0.20214772138665102,0.020499112235249067,2.7971807973210465,0.9228200739310828,0.43034319520829784,35.191611917972274,14.947913492853509
8046.TW,0.4381445181998574,3.157774425849364,0.08366085340888599,0.2631515613329662,1.3533156833006281,0.26910249257472063,,2.0272155846075752,1.304474796103835,3.0044878218203444,4.133787215455824,0.3404679423210008,0.007643414539429689,28.17794114932353,11.304766692356603
3189.TW,1.2698170045631636,0.22652539517222398,0.010841101765315515,1.2198685380017664,0.05763067196982739,1.9563232648721594,0.6613493229554587,,1.3631190486819729,0.4663358592965394,2.3880580856995164,1.074769673052276,2.335377719966866,27.287740757265944,6.547256318512098
600584.SS,2.87999232224103,4.750474468560988,6.226077847470183,1.46033194387729,4.394993727051204,1.939017407002235,2.9684744727177796,7.3827638848799655,,2.165705264440461,1.8396253469911454,1.966553332136161,0.14011718034088685,26.767027074087594,19.63758015327558
002156.SZ,1.6592890844195978,4.9025670807845785,5.668163160100573,1.346469618739241,5.967659819596541,0.7029337518265703,0.4249921061296945,0.7879333714139122,0.49148661681932476,,0.1451890533922725,3.95283255964892,0.06873948868393111,21.69773945026459,11.334961788722437
002185.SZ,0.5631554929181425,1.0664899493215922,3.1206182142258574,0.5795739546547142,3.237663411958298,0.21298302648802592,0.20351300916716086,1.9534712949743442,0.9402133625834846,0.3252717802780053,,3.875788979961097,1.2873805605367301,10.667390163602542,14.31043010334061
005930.KS,2.226873522717196,6.724630883090966,0.9354635754858805,0.30368027411774823,1.231087653784708,2.0191731860782434,2.0931154226162496,3.353944216730876,2.299155348666357,3.7138098930662933,3.4233095729391603,,5.619373737305818,25.05442343101436,11.409805869146215
4062.T,2.0543402852549257,17.61343178797879,16.344444060184664,5.574532517537942,8.920596101650878,12.983444933604092,12.915272865279913,8.705157769036196,1.1733712378972023,0.41073868101762373,4.258889245878793,6.304604197225968,,40.53294625896826,24.623697422868414
AMKR,2.059209650594388,1.3655202588732978,3.2206587821103994,4.626839783306692,14.36216786684883,0.11400014587540581,0.36647932191683447,1.2546949991996978,4.127526643680116,2.2617892294459905,3.0596203618802553,1.2075099395672453,0.2367259916690534,,0.6377735858656933
INTC,1.0128838764626302,0.27613350836192746,0.7496283184071165,0.1880952766646139,6.216114401205344,1.325046529924269,1.6436476337820054,3.147084578741957,0.01782779207865492,0.0018604399327338658,0.5081091639246808,4.438820569220941,4.776145843247718,0.002382986906465385,
