,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC,600584.SS__ret_pct,600584.SS__limit,002156.SZ__ret_pct,002156.SZ__limit,002185.SZ__ret_pct,002185.SZ__limit
2020-09-02,387.01275634765625,46.1773567199707,64.25634765625,23.047548294067383,26.72484970092773,68.72776794433594,113.03018951416016,60.04817581176758,36.99969482421875,23.59081649780273,14.979848861694336,47293.265625,1723.4088134765625,11.592161178588867,45.583892822265625,-8.43,,-0.79,,-2.99,
2020-09-03,389.6941528320313,46.25406265258789,64.77335357666016,23.0103759765625,26.80595588684082,70.33857727050781,119.06997680664062,58.88997268676758,36.91183471679688,23.72958755493164,14.440300941467283,49031.98828125,1732.9698486328125,11.842549324035645,46.89423751831055,-0.24,,0.59,,-3.6,
2020-09-04,383.4375915527344,45.64040756225586,63.96091842651367,23.159069061279297,26.56263542175293,67.74337768554688,117.7757339477539,59.691802978515625,37.30232620239258,23.99721336364746,14.616880416870115,48336.515625,1677.992919921875,11.01718807220459,45.224884033203125,1.06,,1.13,,1.22,
2020-09-07,380.756103515625,46.7910041809082,64.69949340820312,23.344934463500977,26.238204956054688,64.52176666259766,109.1474838256836,57.0190315246582,35.43770217895508,23.739501953125,14.567829132080078,49118.93359375,1666.0413818359375,10.664786338806152,44.9466667175293,-5.0,,-1.07,,-0.34,
2020-09-09,381.6500549316406,47.55807876586914,64.6256332397461,23.19624328613281,26.80595588684082,66.13258361816406,113.89301300048828,57.37540435791016,33.18258285522461,21.420066833496094,13.616260528564451,50770.7265625,1668.431640625,9.950709342956545,43.89659881591797,-3.9,,-6.08,,-4.14,
2020-09-10,388.8004150390625,46.94441986083984,64.92105865478516,22.89885711669922,26.60318756103516,65.23768615722656,108.71607208251952,56.306297302246094,33.48521041870117,21.00375938415528,13.341581344604492,51466.22265625,1694.7249755859375,10.340205192565918,44.533817291259766,0.91,,-1.94,,-2.02,
2020-09-11,390.1409912109375,47.021121978759766,65.7334976196289,22.71298789978028,26.44097328186035,64.70075988769531,106.12759399414062,55.41537094116211,35.29126739501953,21.63813591003418,13.812459945678713,51292.32421875,1680.3831787109375,10.173280715942385,43.94147109985352,5.39,,3.02,,3.53,
2020-09-14,394.1631164550781,47.25124740600586,66.3243637084961,23.047548294067383,26.7654037475586,68.01185607910156,108.2846450805664,58.26632690429688,35.135066986083984,22.153562545776367,13.979229927062988,52509.44921875,1723.4088134765625,10.089816093444824,44.22867202758789,-0.44,,2.38,,1.21,
2020-09-15,397.73828125,47.55807876586914,66.2505111694336,23.456457138061523,28.34699440002441,68.28032684326172,111.73595428466795,61.20636367797852,35.37913131713867,22.07426643371582,13.930180549621582,53031.06640625,1709.066650390625,10.701884269714355,44.345340728759766,0.69,,-0.36,,-0.35,
2020-09-16,409.3576965332031,47.86489486694336,66.61979675292969,23.30776023864746,28.14422416687012,69.712158203125,114.7558364868164,61.65182495117188,35.03744125366211,21.93549537658692,13.694741249084473,53031.06640625,1721.0181884765625,10.581323623657228,44.8748664855957,-0.97,,-0.63,,-1.69,
2020-09-17,403.0667724609375,47.7881965637207,66.61979675292969,23.0103759765625,27.94145774841309,71.77040100097656,117.34432983398438,60.58272933959961,35.29126739501953,22.163476943969727,13.88113021850586,51727.0234375,1742.53125,10.65551471710205,45.206939697265625,0.72,,1.04,,1.36,
2020-09-18,399.0226440429688,47.86489486694336,66.102783203125,23.270586013793945,27.657581329345703,69.98062133789062,116.05008697509766,61.38455581665039,36.11130905151367,22.43110084533692,14.067520141601562,51553.1484375,1747.311767578125,10.646241188049316,45.16206741333008,2.32,,1.21,,1.34,
2020-09-23,389.5862731933594,45.94723892211914,63.73933792114258,22.11821174621582,26.643739700317383,69.17521667480469,110.44171905517578,57.90995788574219,35.82820129394531,22.728466033935547,13.98904037475586,50944.6015625,1737.750244140625,10.488585472106934,44.829986572265625,0.41,,-1.67,,0.85,
2020-09-24,380.1498718261719,44.64322280883789,62.779178619384766,22.22973251342773,25.792116165161133,66.04309844970703,103.1076889038086,57.82086944580078,35.44746780395508,23.303367614746094,13.655502319335938,50249.1015625,1673.21240234375,10.117636680603027,43.81582260131836,-1.06,,2.53,,-2.38,
2020-09-25,381.0486145019531,45.18016815185547,61.89289474487305,22.67581367492676,25.062150955200195,64.87973022460938,97.49932861328124,55.682655334472656,35.75010299682617,22.88705825805664,13.50835132598877,50336.0390625,1661.2608642578125,10.126907348632812,44.12096786499024,0.85,,-1.79,,-1.08,
2020-09-28,387.788818359375,46.1773567199707,63.00075912475586,22.78733253479004,25.75156021118164,69.35418701171875,103.97051239013672,59.1572494506836,34.11977005004883,21.79672813415528,13.066900253295898,50908.09765625,1701.89599609375,10.117636680603027,44.82101058959961,-4.56,,-4.76,,-3.27,
2020-09-29,387.3395690917969,44.95004653930664,63.07461166381836,22.60146713256836,26.27876091003418,66.31155395507812,100.08779907226562,57.82086944580078,35.047203063964844,22.52031135559082,13.51816177368164,50908.09765625,1728.3004150390625,10.460762977600098,46.158294677734375,2.72,,3.32,,3.45,
2020-10-12,413.40185546875,47.63477325439453,65.7334976196289,22.861682891845703,27.008724212646484,76.24486541748047,107.4218292236328,60.93909454345703,38.220001220703125,24.20536994934082,14.204858779907228,52832.46875,1819.5164794921875,11.768360137939451,47.40580749511719,6.44,,5.17,,4.02,
