date,gap_days,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2020-09-03,1,0.006904553326773983,0.0016597375815832816,0.008013793449857644,-0.0016141554863608825,0.003030264427582465,0.023167091482591464,0.052056413802904405,-0.019476337086706406,-0.0023774409581625573,0.005865184700829031,-0.03668291462933148,0.036104997612641736,0.005532414401091567,0.021369811592227325,0.028340373951104284
2020-09-04,1,-0.016185334278423506,-0.013355846348167541,-0.012622061299836116,0.006441212307888652,-0.009118552507638393,-0.03759369173353951,-0.010929104329929978,0.013523874273594633,0.010523465722619375,0.01121502420658564,0.012154079704946098,-0.014285615079007472,-0.032238223535891265,-0.0722423155062821,-0.03624733343075866
2020-09-07,3,-0.007017851782168207,0.024897511201127438,0.011481124366891828,0.007993565190992351,-0.012288991853371074,-0.04872407413402984,-0.07608222605978783,-0.04580960892470683,-0.05127940268263693,-0.010797304025294103,-0.0033614404073324545,0.016057281275942956,-0.007148006207509133,-0.03250928744735017,-0.0061708642298626895
2020-09-09,2,0.0023450802850789546,0.016260708908219935,-0.001142240157067418,-0.006389682876752196,0.02140754436100946,0.024658935190010688,0.04255949500651719,0.006230617483892484,-0.06575116122737706,-0.1028122245740816,-0.0675509077174932,0.03307536634136045,0.001433665339244113,-0.0693034784765802,-0.02363976146905345
2020-09-10,1,0.018562037896564774,-0.01298732921238832,0.004560918118985527,-0.012903336491708156,-0.007593055680115666,-0.013624259203086029,-0.046519884850016985,-0.01880933448230502,0.009078735840681086,-0.019626745164608207,-0.020379130612937627,0.013605782020332751,0.015636423563366673,0.038395874046703075,0.01441199833377551
2020-09-11,1,0.0034420496450207707,0.0016325587753584167,0.012436603201354826,-0.00815008670214387,-0.006116216460934072,-0.008264364271908005,-0.024097553290700516,-0.015949372424353063,0.05253168944653769,0.029755869332148625,0.03468550437687214,-0.0033846061237154585,-0.008498621401627408,-0.016274967780312656,-0.013390293556290619
2020-09-14,3,0.01025663506008611,0.004882149156569895,0.008948653656619194,0.01462248405808423,0.01219532337049148,0.049909097858110166,0.02012127546059517,0.05016733429273344,-0.0044358595811013705,0.023541011512498457,0.012001571974014419,0.02345202290501235,0.02528234784132566,-0.008238138061791501,0.00651472104543452
2020-09-15,1,0.009029379403606583,0.006472621280460105,-0.00111412583673614,0.0175864155851761,0.05741085827825267,0.00393964064032014,0.03137517425424147,0.049226822404506154,0.0069224443179345145,-0.0035858055371919893,-0.003514902472118472,0.009884761915509565,-0.008356794799234079,0.05889321835394752,0.0026343792047844815
2020-09-16,1,0.02879513330397441,0.006430676947534096,0.005558601317635404,-0.006359452115152432,-0.007178853957382679,0.020753054031086942,0.02666817341101865,0.007251665196625772,-0.009704895675479908,-0.006306397096381024,-0.017045840202443957,0.0,0.006968682708305715,-0.011329301126572745,0.011870225164645127
2020-09-17,1,-0.015487100775162611,-0.001603676755514821,0.0,-0.012841118956384562,-0.007230626247222449,0.029097409978681106,0.022305892437126166,-0.017492972914900942,0.007218310938646899,0.010339633169227529,0.013518470896980682,-0.024897558430602762,0.012422711769874103,0.006987047137712122,0.007372736625859468
2020-09-18,1,-0.010084069443619148,0.001603676755514904,-0.007790930000597662,0.011244916611846983,-0.010211647201264015,-0.02525378304021517,-0.011090720532083596,0.013148411521754094,0.022970535647244106,0.012002675102912268,0.013338224497025541,-0.003367057995991152,0.002739676566648069,-0.0008706821803677448,-0.0009930901989105428
2020-09-23,5,-0.023932829195833175,-0.04088859369612869,-0.03640893016346123,-0.05078883014180385,-0.037345664550800156,-0.01157570775402326,-0.04953392972935718,-0.058268915581286,-0.00787075746619264,0.013169722700792084,-0.005594411437887122,-0.011874485548839015,-0.0054871605704236515,-0.014919321818759247,-0.007380259337951869
2020-09-24,1,-0.02451976356315445,-0.028791247244681784,-0.015178453902830777,0.005029365132726533,-0.03248534472473617,-0.04633512221448918,-0.06871398706436833,-0.0015395804141870929,-0.010683508583736543,0.024979733770838806,-0.024131651943459828,-0.013746131035210246,-0.03784594058254997,-0.03600746094703785,-0.022882259887667393
