date,ticker,raw_minus_clean,gap_days
2020-09-09,002156.SZ,-0.0400394867113846,2
2020-09-09,002185.SZ,-0.025231539686628085,2
2020-09-09,005930.KS,0.038199128106136605,2
2020-09-09,2330.TW,0.011669206881476251,2
2020-09-09,2449.TW,-0.004788450977312863,2
2020-09-09,3037.TW,0.015141618982240153,2
2020-09-09,3264.TWO,0.02140754436100946,2
2020-09-09,3711.TW,0.0065360793274306835,2
2020-09-09,4062.T,0.028290551750837622,2
2020-09-09,600584.SS,-0.025953665833465277,2
2020-09-09,6239.TW,0.005691477177264137,2
2020-09-09,8046.TW,0.011787922167340436,2
2020-09-23,002156.SZ,0.030034971371552033,5
2020-09-23,002185.SZ,-0.014045083897352633,5
2020-09-23,005930.KS,-0.01872393173759768,5
2020-09-23,2330.TW,-0.01589135718586246,5
2020-09-23,2449.TW,-0.03743310817650939,5
2020-09-23,3037.TW,-0.01028283202362101,5
2020-09-23,3189.TW,-0.036959126216761645,5
2020-09-23,3264.TWO,-0.025242520950581906,5
2020-09-23,3711.TW,-0.03257606329204851,5
2020-09-23,600584.SS,-0.011966377017972093,5
2020-09-23,6239.TW,-0.015766003122929605,5
2020-09-23,8046.TW,-0.057377154513403604,5
2020-09-23,AMKR,-0.028270644239057285,5
2020-09-23,INTC,-0.011995249187021204,5
2020-10-12,002156.SZ,0.02176830064018493,13
2020-10-12,002185.SZ,0.010108442839653668,13
2020-10-12,005930.KS,0.02544662980176214,13
2020-10-12,2330.TW,0.04978388423915093,13
2020-10-12,2449.TW,0.011447451431647715,13
2020-10-12,3037.TW,0.13488014970001855,13
2020-10-12,3189.TW,0.04812946679696772,13
2020-10-12,3264.TWO,0.025896315598463362,13
2020-10-12,3711.TW,0.048302575238079126,13
2020-10-12,4062.T,0.05275059860687728,13
2020-10-12,600584.SS,0.02421694433814084,13
2020-10-12,6239.TW,0.019710859652304114,13
2020-10-12,8046.TW,0.09059693616669243,13
2020-10-12,AMKR,0.08412631022665734,13
2020-10-12,INTC,0.03702691259118612,13
2020-11-04,002156.SZ,-0.006235496381071553,2
2020-11-04,002185.SZ,0.0054681544502446985,2
2020-11-04,005930.KS,0.024097784981528994,2
2020-11-04,2330.TW,0.01255013918155638,2
2020-11-04,2449.TW,0.00663357359076526,2
2020-11-04,3037.TW,0.0167304361481359,2
2020-11-04,3189.TW,0.01373636370802405,2
2020-11-04,3264.TWO,0.0030302644275825383,2
2020-11-04,600584.SS,-0.007297429605958972,2
2020-11-04,6239.TW,0.020107017876110824,2
2020-11-04,8046.TW,0.012793466596138954,2
2020-11-04,AMKR,-0.0033815127802152567,2
2020-11-04,INTC,0.004056777767183039,2
2020-11-24,002156.SZ,-0.01169618045874038,4
2020-11-24,002185.SZ,0.01110035681231945,4
2020-11-24,005930.KS,0.0423662660977169,4
2020-11-24,2330.TW,0.017267804127210927,4
2020-11-24,2449.TW,0.042174782311119166,4
2020-11-24,3037.TW,0.03886508928477411,4
2020-11-24,3189.TW,0.023654196221964616,4
2020-11-24,3264.TWO,0.05257076635901208,4
2020-11-24,3711.TW,0.013624210909666885,4
2020-11-24,600584.SS,0.02075039946164905,4
2020-11-24,6239.TW,0.007713435519158813,4
2020-11-24,8046.TW,0.007220291304700227,4
