cause,effect,A_plus1bday (headline),B_minus1bday (reverse placebo),C_noshift (naive calendar)
002156.SZ,AMKR,21.697739450264727,1.2458529405438652,3.5739950402953933
002156.SZ,INTC,11.334961788722206,0.08396080241802399,0.14887480321765317
002185.SZ,AMKR,10.667390163602521,1.5701391895704269,4.247634643764694
002185.SZ,INTC,14.310430103340584,3.2674080758903346,0.44851641418521876
005930.KS,AMKR,25.054423431014502,4.229165004896807,1.5821000130720573
005930.KS,INTC,11.409805869146087,0.38092787771381537,1.5325742361592691
2330.TW,AMKR,21.660748553490247,0.5646215026297458,0.5696573404202928
2330.TW,INTC,6.038681862871227,0.3331629568111623,0.13616103280142403
2449.TW,AMKR,21.316351474010432,2.4650805732211776,0.05244373298968475
2449.TW,INTC,8.883561194230387,0.9699230239930723,0.8012303726348716
3037.TW,AMKR,35.19161191797259,0.21174565061523054,0.054270088784814714
3037.TW,INTC,14.947913492853692,0.6715822964725608,0.05210911408724939
3189.TW,AMKR,27.28774075726626,0.24954652738509298,1.076505236499174
3189.TW,INTC,6.547256318511878,0.4455067980184801,0.4316899024540629
3264.TWO,AMKR,18.792528698298796,0.1957541984768462,0.5041981254896577
3264.TWO,INTC,2.761608012286489,0.3282634324211018,1.262901264773284
3711.TW,AMKR,29.98914354149466,1.7280380881308148,1.8261146968317787
3711.TW,INTC,9.931375888315792,0.28636156649383604,0.17464915056034624
4062.T,AMKR,40.53294625896837,0.8500451169668467,1.970016606344471
4062.T,INTC,24.623697422868155,0.8483625746816351,0.6108290951310273
600584.SS,AMKR,26.767027074087544,0.02228167668955441,1.7066876900223733
600584.SS,INTC,19.63758015327554,0.06442220597394328,0.021410257454681357
6239.TW,AMKR,24.749752482412422,2.1003181344440045,0.2126047587445466
6239.TW,INTC,13.731423797648072,0.8415786963612493,0.09336412070534371
8046.TW,AMKR,28.17794114932366,0.27482733080013594,0.31770273097059365
8046.TW,INTC,11.304766692356793,0.4688193834734353,0.45960489731853504
AMKR,002156.SZ,2.261789229445986,14.039512830680303,13.263675672894827
AMKR,002185.SZ,3.0596203618804108,8.772818247866015,14.770790693243477
AMKR,005930.KS,1.2075099395672426,59.39777810769063,77.65274292225214
AMKR,2330.TW,2.0592096505945343,101.137962955784,208.23283071300673
AMKR,2449.TW,4.62683978330668,53.14346823009254,75.84163825744825
AMKR,3037.TW,0.1140001458757514,49.29445329749373,90.55399417775673
AMKR,3189.TW,1.2546949991998682,42.52169224604167,73.58517905227154
AMKR,3264.TWO,14.362167866848793,33.010419112996175,50.49068522653905
AMKR,3711.TW,1.365520258873462,109.90689560795259,215.83019170694948
AMKR,4062.T,0.23672599166872452,69.86013337420717,157.97907869488301
AMKR,600584.SS,4.127526643680106,20.860909091505352,12.904033534601064
AMKR,6239.TW,3.22065878211039,55.88280739605355,102.16045346701426
AMKR,8046.TW,0.3664793219166655,48.955436089704605,88.48832543058275
AMKR,INTC,0.6377735858658993,0.06986700912415453,0.039402507453561955
INTC,002156.SZ,0.0018604399327338621,6.0347911589295276,28.5941150919534
INTC,002185.SZ,0.5081091639246794,12.504603875148026,22.90262579415603
INTC,005930.KS,4.438820569220836,39.34014201775648,50.710305909253044
INTC,2330.TW,1.0128838764627803,66.56892627974972,133.66421648914772
INTC,2449.TW,0.18809527666461343,21.387494393108625,45.85937606248907
INTC,3037.TW,1.3250465299244396,36.43482558383785,67.22909250535177
INTC,3189.TW,3.147084578742124,18.32868595944585,33.38594675955361
INTC,3264.TWO,6.216114401205486,2.8994234326619748,26.35510105840444
INTC,3711.TW,0.2761335083620945,52.89660336149332,122.28149887585711
INTC,4062.T,4.77614584324738,81.87487391183298,157.69926509386508
INTC,600584.SS,0.01782779207893115,13.865040745585208,35.930333751310364
INTC,6239.TW,0.7496283184071145,28.844034228593955,82.93679404927177
INTC,8046.TW,1.6436476337820025,44.081036386728854,87.42063159482684
INTC,AMKR,0.0023829869068232234,1.9251202081337775,0.17463369603238937
