leader,leader_name,follower,follower_name,task1_classification,raw_signal_days,n_independent_episodes,strategy_ann_ret,strategy_ann_vol,strategy_sharpe,strategy_winrate,buyhold_ann_ret,buyhold_ann_vol,buyhold_sharpe,mannwhitney_U,mannwhitney_p,strategy_beats_random_at_5pct
4062.T,Ibiden,005930.KS,三星,僅後半段,193,37,0.2626934760677929,0.2839455385276011,0.9251544413410729,0.5135135135135135,0.1812256379844195,0.3956966690339022,0.4579913154863899,19330.5,0.6426846194809208,False
005930.KS,三星,3711.TW,日月光,僅後半段,207,37,0.3631510025430661,0.41883692272982687,0.8670462961483429,0.5675675675675675,0.4412799496351723,0.40872011643363637,1.079662908411856,18908.0,0.8198157522643779,False
2330.TW,台積電,3037.TW,欣興,僅後半段,192,37,0.524483966435124,0.6427926281524248,0.8159458330171665,0.5405405405405406,0.39287997609347614,0.5689213071922201,0.6905699806401076,19222.5,0.6865220776240113,False
2330.TW,台積電,3189.TW,景碩,僅後半段,192,37,0.5352729247085709,0.5609171674567405,0.9542815869508089,0.6216216216216216,0.34911346914455976,0.5690182490561054,0.6135365073504646,20231.5,0.33325202074650273,False
2330.TW,台積電,3264.TWO,欣銓,全期間穩定,192,37,0.5228800363519183,0.4423049432969423,1.1821709078229354,0.6216216216216216,0.37416713277495434,0.4246477432814341,0.881123563458987,20138.5,0.35987690289362995,False
2330.TW,台積電,3711.TW,日月光,全期間穩定,192,37,0.5661862462190337,0.414990690400475,1.3643348135657012,0.7027027027027027,0.4412799496351723,0.40872011643363637,1.079662908411856,20617.5,0.2366711284244798,False
2330.TW,台積電,8046.TW,南電,全期間穩定,192,37,0.6950264512087347,0.6869803680000955,1.0117122462059034,0.6216216216216216,0.3595019079621615,0.575788464954395,0.6243645537265768,20886.5,0.18229814764253216,False
2449.TW,京元電子,3264.TWO,欣銓,全期間穩定,203,37,0.6444817062475996,0.37147451116376784,1.734928472558038,0.7027027027027027,0.37416713277495434,0.4246477432814341,0.881123563458987,21144.0,0.1395019738503017,False
3037.TW,欣興,3189.TW,景碩,僅後半段,176,33,0.44619343675201917,0.5383833452721069,0.8287653038867806,0.48484848484848486,0.34911346914455976,0.5690182490561054,0.6135365073504646,16699.5,0.906057947654971,False
3037.TW,欣興,8046.TW,南電,僅後半段,176,33,0.46056145518098457,0.6425515811429592,0.7167696239448141,0.5454545454545454,0.3595019079621615,0.575788464954395,0.6243645537265768,17152.5,0.6990129638380314,False
3711.TW,日月光,3264.TWO,欣銓,僅後半段,203,33,0.25836946998821897,0.3102567034765764,0.8327603145816483,0.5151515151515151,0.37416713277495434,0.4246477432814341,0.881123563458987,16393.0,0.949641235596665,False
3711.TW,日月光,8046.TW,南電,僅後半段,203,33,0.48534521122769125,0.47588469308700765,1.01987985383458,0.6363636363636364,0.3595019079621615,0.575788464954395,0.6243645537265768,18298.0,0.2864394684364181,False
4062.T,Ibiden,3037.TW,欣興,僅後半段,193,37,0.6446789454358793,0.582384335527308,1.1069647758505867,0.5675675675675675,0.39287997609347614,0.5689213071922201,0.6905699806401076,19787.5,0.4718946717811846,False
4062.T,Ibiden,3189.TW,景碩,僅後半段,193,37,0.6712218566597096,0.5452438224049803,1.2310489896044325,0.5675675675675675,0.34911346914455976,0.5690182490561054,0.6135365073504646,20306.5,0.31273139107897674,False
4062.T,Ibiden,3264.TWO,欣銓,僅後半段,193,37,0.3148011775020707,0.4068621761833915,0.7737292772090354,0.6216216216216216,0.37416713277495434,0.4246477432814341,0.881123563458987,18712.5,0.9056695008688244,False
4062.T,Ibiden,3711.TW,日月光,僅後半段,193,37,0.3725283029363679,0.34063425328864744,1.0936313636688029,0.6756756756756757,0.4412799496351723,0.40872011643363637,1.079662908411856,18452.5,0.9790405593962447,False
4062.T,Ibiden,8046.TW,南電,僅後半段,193,37,0.5822620235692806,0.5306943101500722,1.097170277564547,0.5675675675675675,0.3595019079621615,0.575788464954395,0.6243645537265768,20529.5,0.256728058496112,False
600584.SS,長電科技,3189.TW,景碩,僅後半段,193,37,0.9657753183565513,0.5565602059153567,1.7352575841604982,0.5675675675675675,0.34911346914455976,0.5690182490561054,0.6135365073504646,21780.5,0.06673784931738433,False
6239.TW,力成,3264.TWO,欣銓,僅後半段,177,33,0.3505483771997213,0.3758726308492262,0.932625438589959,0.5757575757575758,0.37416713277495434,0.4246477432814341,0.881123563458987,17044.5,0.7469933717185875,False
