leader,leader_name,follower,follower_name,n_1d,mean_1d,t_1d,p_1d,winrate_1d,n_3d,mean_3d,t_3d,p_3d,winrate_3d,n_5d,mean_5d,t_5d,p_5d,winrate_5d,n_10d,mean_10d,t_10d,p_10d,winrate_10d
005930.KS,三星,4062.T,Ibiden,170,-0.00021344635059263186,-0.0623538866301881,0.9503547006228675,0.49411764705882355,170,-0.0045515772789884,-0.8444708659527616,0.3996001816594005,0.48823529411764705,170,0.003822658088530548,0.5968672233426554,0.5513947865758693,0.48823529411764705,170,0.008800854788133592,1.0733953483250092,0.28462404086628534,0.49411764705882355
4062.T,Ibiden,005930.KS,三星,166,-0.0002980310252136005,-0.1344904649431993,0.8931786619478981,0.4879518072289157,166,0.00471874242890736,1.7085430043177015,0.08941603133389772,0.5301204819277109,166,0.006134272323624098,1.847821677211235,0.0664184180573754,0.5602409638554217,166,0.010445624632359133,2.345047120378561,0.02021457734747673,0.5481927710843374
005930.KS,三星,3711.TW,日月光,170,-0.0003030745637258884,-0.12176520890219365,0.903229632628062,0.4411764705882353,170,0.0007227372076450499,0.17764486691668066,0.8592146295430443,0.5117647058823529,170,0.006211440520816145,1.272689505084545,0.2048763491413718,0.5588235294117647,170,0.01648219915418724,2.512172528925469,0.012936452070209284,0.6
2330.TW,台積電,2449.TW,京元電子,160,0.002200527399492285,0.8610583423338806,0.39050252388152573,0.53125,160,0.005106151214807869,1.2297784668603107,0.2205966448156512,0.51875,160,0.00899144270373783,1.8323088763275395,0.06877625000015195,0.6,160,0.017225047071314108,2.698371521515277,0.007720689070915242,0.60625
2330.TW,台積電,3037.TW,欣興,160,0.0029155653879278914,0.9217120022012276,0.3580752567821779,0.55,160,0.012265707778034051,2.1498928979013843,0.03307557612988401,0.5375,160,0.018385914761032008,2.6579355147736132,0.008665255486768228,0.60625,160,0.031131772205115465,3.2148854621010434,0.0015806262323385272,0.55
2330.TW,台積電,3189.TW,景碩,160,0.004500240402142574,1.3889308817097195,0.16679612296919144,0.5125,160,0.008292666097024923,1.5294312497550464,0.1281446095284841,0.50625,160,0.013666435587521059,1.9432120008234,0.05375672568500196,0.5375,160,0.02421988674036214,2.8571663317063085,0.004846474790824741,0.58125
2330.TW,台積電,3264.TWO,欣銓,160,0.003182465147117307,1.1767485996629212,0.24105451701323488,0.5375,160,0.01008945530214615,2.317576208037386,0.02174727888593031,0.54375,160,0.016093467025260495,3.133088040352662,0.002059886894341553,0.6125,160,0.03307568255033314,5.613837904381344,8.614770795437526e-08,0.65625
2330.TW,台積電,3711.TW,日月光,160,0.0019362681708759168,0.7292815310657821,0.46690239094155617,0.50625,160,0.009386771313948921,2.4715590881411305,0.014506608420028582,0.575,160,0.012628271141652112,2.802468473172239,0.005702317892577493,0.65625,160,0.02297303635656979,3.727612812525067,0.00026830676951381807,0.65
2330.TW,台積電,6239.TW,力成,160,-2.9727247667644343e-05,-0.013779507808072602,0.9890231662053068,0.51875,160,0.0009358777806600452,0.28453948785138033,0.7763672223988966,0.54375,160,0.0014407681764182906,0.3394310768356767,0.734732927934824,0.53125,160,0.004839322991617362,0.7765974332065163,0.4385500759247031,0.56875
2330.TW,台積電,8046.TW,南電,160,0.003378506382333625,1.106009692949835,0.27039295993205115,0.55625,160,0.01347608598052622,2.6509308512947745,0.008839092707207256,0.55625,160,0.018764910647367433,3.0035753487832846,0.003100446516337083,0.59375,160,0.032611365176457026,3.763724894434586,0.00023510014204666178,0.65
