leader,leader_name,follower,follower_name,n_1d,mean_1d,t_1d,p_1d,winrate_1d,n_3d,mean_3d,t_3d,p_3d,winrate_3d,n_5d,mean_5d,t_5d,p_5d,winrate_5d,n_10d,mean_10d,t_10d,p_10d,winrate_10d,n1,t1,p1,n2,t2,p2,classification
005930.KS,三星,4062.T,Ibiden,170,-0.00021344635059263186,-0.0623538866301881,0.9503547006228675,0.49411764705882355,170,-0.0045515772789884,-0.8444708659527616,0.3996001816594005,0.48823529411764705,170,0.003822658088530548,0.5968672233426554,0.5513947865758693,0.48823529411764705,170,0.008800854788133592,1.0733953483250092,0.28462404086628534,0.49411764705882355,71,0.8677259835466034,0.38850940087783425,99,0.7450377048395256,0.4580319828674131,兩段均不顯著
4062.T,Ibiden,005930.KS,三星,166,-0.0002980310252136005,-0.1344904649431993,0.8931786619478981,0.4879518072289157,166,0.00471874242890736,1.7085430043177015,0.08941603133389772,0.5301204819277109,166,0.006134272323624098,1.847821677211235,0.0664184180573754,0.5602409638554217,166,0.010445624632359133,2.345047120378561,0.02021457734747673,0.5481927710843374,79,-0.7587954508066265,0.45026181930330456,87,3.363897422621989,0.0011494861635597386,僅後半段
005930.KS,三星,3711.TW,日月光,170,-0.0003030745637258884,-0.12176520890219365,0.903229632628062,0.4411764705882353,170,0.0007227372076450499,0.17764486691668066,0.8592146295430443,0.5117647058823529,170,0.006211440520816145,1.272689505084545,0.2048763491413718,0.5588235294117647,170,0.01648219915418724,2.512172528925469,0.012936452070209284,0.6,71,0.24973498947530412,0.8035237180307507,99,3.1164690118234026,0.0024017733201672936,僅後半段
2330.TW,台積電,2449.TW,京元電子,160,0.002200527399492285,0.8610583423338806,0.39050252388152573,0.53125,160,0.005106151214807869,1.2297784668603107,0.2205966448156512,0.51875,160,0.00899144270373783,1.8323088763275395,0.06877625000015195,0.6,160,0.017225047071314108,2.698371521515277,0.007720689070915242,0.60625,79,3.2189121403488903,0.0018759303727644242,81,1.4623658512977087,0.14755846670967754,僅前半段
2330.TW,台積電,3037.TW,欣興,160,0.0029155653879278914,0.9217120022012276,0.3580752567821779,0.55,160,0.012265707778034051,2.1498928979013843,0.03307557612988401,0.5375,160,0.018385914761032008,2.6579355147736132,0.008665255486768228,0.60625,160,0.031131772205115465,3.2148854621010434,0.0015806262323385272,0.55,79,1.8311103313653734,0.07090273470822239,81,2.6441192828443,0.009853936485451473,僅後半段
2330.TW,台積電,3189.TW,景碩,160,0.004500240402142574,1.3889308817097195,0.16679612296919144,0.5125,160,0.008292666097024923,1.5294312497550464,0.1281446095284841,0.50625,160,0.013666435587521059,1.9432120008234,0.05375672568500196,0.5375,160,0.02421988674036214,2.8571663317063085,0.004846474790824741,0.58125,79,1.5859629389441485,0.11679376084971378,81,2.3885069676996076,0.019272773020499304,僅後半段
2330.TW,台積電,3264.TWO,欣銓,160,0.003182465147117307,1.1767485996629212,0.24105451701323488,0.5375,160,0.01008945530214615,2.317576208037386,0.02174727888593031,0.54375,160,0.016093467025260495,3.133088040352662,0.002059886894341553,0.6125,160,0.03307568255033314,5.613837904381344,8.614770795437526e-08,0.65625,79,5.412166406188125,6.646747345427108e-07,81,3.2494540952124362,0.0016920512356067977,全期間穩定
2330.TW,台積電,3711.TW,日月光,160,0.0019362681708759168,0.7292815310657821,0.46690239094155617,0.50625,160,0.009386771313948921,2.4715590881411305,0.014506608420028582,0.575,160,0.012628271141652112,2.802468473172239,0.005702317892577493,0.65625,160,0.02297303635656979,3.727612812525067,0.00026830676951381807,0.65,79,3.8134823104292925,0.00027244144538681917,81,2.1468791058082384,0.03483148553582191,全期間穩定
2330.TW,台積電,6239.TW,力成,160,-2.9727247667644343e-05,-0.013779507808072602,0.9890231662053068,0.51875,160,0.0009358777806600452,0.28453948785138033,0.7763672223988966,0.54375,160,0.0014407681764182906,0.3394310768356767,0.734732927934824,0.53125,160,0.004839322991617362,0.7765974332065163,0.4385500759247031,0.56875,79,4.075981355562666,0.00010943425851096305,81,-0.40137642186879785,0.6892131576782321,僅前半段
2330.TW,台積電,8046.TW,南電,160,0.003378506382333625,1.106009692949835,0.27039295993205115,0.55625,160,0.01347608598052622,2.6509308512947745,0.008839092707207256,0.55625,160,0.018764910647367433,3.0035753487832846,0.003100446516337083,0.59375,160,0.032611365176457026,3.763724894434586,0.00023510014204666178,0.65,79,3.6226018100114388,0.0005171394809906879,81,2.1231314262825807,0.036833953687022844,全期間穩定
2449.TW,京元電子,3264.TWO,欣銓,157,-0.000656879167830146,-0.26371492795854,0.7923476231687385,0.5414012738853503,157,0.005121868315988913,1.2672327302533737,0.2069605604771553,0.554140127388535,157,0.010086309955407905,1.9454842931785037,0.053514465805989314,0.5796178343949044,155,0.026142555610043795,4.023752081650038,8.954244734192959e-05,0.6064516129032258,75,2.9531383392431945,0.0042139399275131105,80,2.762730253717101,0.007127726129197111,全期間穩定
3037.TW,欣興,3189.TW,景碩,177,0.002120655134459751,0.6418775577805019,0.5217878067105939,0.4858757062146893,177,0.01401436988095833,2.688753901586704,0.007861163584330666,0.536723163841808,177,0.010427667169524812,1.4550571289180139,0.14743468652887895,0.4915254237288136,176,0.026756891566732853,2.9961240378426597,0.0031314783377937787,0.5681818181818182,75,-0.3463912339780756,0.7300317143517804,101,3.8681810956575533,0.00019536681199434845,僅後半段
3037.TW,欣興,8046.TW,南電,177,0.0026085209824092473,0.8037267262849979,0.42263900422240197,0.4745762711864407,177,0.015325960823266324,2.961983767943811,0.0034790423091874004,0.5536723163841808,177,0.008956719967988244,1.247072113934518,0.21402802919874847,0.5310734463276836,176,0.03055492546388566,3.052991795156232,0.002619459188657961,0.6022727272727273,75,1.0845718992701068,0.28163219693958413,101,2.920234542029635,0.004322642994385317,僅後半段
3711.TW,日月光,3264.TWO,欣銓,181,0.0006621314962042647,0.2581332867486047,0.7965989451409416,0.5082872928176796,181,0.006934827392312257,1.565647415570563,0.11918752631366626,0.5193370165745856,181,0.007336349186165018,1.3402919137566538,0.1818397531707744,0.5248618784530387,181,0.021617258013050908,3.2206783686992932,0.001517652424440344,0.574585635359116,83,-0.3966952838679231,0.6926227072826101,98,4.375927703535799,3.048900148899561e-05,僅後半段
3711.TW,日月光,6239.TW,力成,181,-0.000395473739562061,-0.17927357024589063,0.8579245365551517,0.48066298342541436,181,0.002529409857324196,0.690672782379977,0.49066086760506933,0.49171270718232046,181,0.00034076724383923636,0.0664914159292976,0.9470603862288375,0.4972375690607735,181,0.0036637738708652575,0.5571893362154373,0.5780902606572402,0.5414364640883977,83,-1.8967528674488028,0.06138152110946799,98,1.3854814910505453,0.16908287217108905,兩段均不顯著
3711.TW,日月光,8046.TW,南電,181,0.0015068006264495372,0.520687748740395,0.6032242155708223,0.5303867403314917,181,0.00826822938887187,1.6128078620487085,0.10853811650760714,0.5082872928176796,181,0.009267389709984971,1.4370105484617615,0.1524509471537971,0.5359116022099447,181,0.020474458444171922,2.2388615862190524,0.026389803585363244,0.56353591160221,83,0.2328403000512537,0.8164656232400992,98,2.575112912161471,0.011531111126227822,僅後半段
4062.T,Ibiden,3037.TW,欣興,166,0.0009524674407126742,0.3012361685882312,0.7636136965550999,0.5301204819277109,166,0.011375072725203595,2.0615420572693757,0.04081992915731559,0.5783132530120482,166,0.01857134897905919,2.689189557033442,0.007898226898700692,0.5421686746987951,166,0.035910417197509106,3.6402595203591392,0.00036410968589129287,0.5662650602409639,79,1.4892508511157292,0.14045374423979304,87,3.635554462039379,0.0004716505853939594,僅後半段
