Date,AMKR,INTC
2020-08-03,12.76064682006836,43.056705474853516
2020-08-04,12.575174331665039,43.79659652709961
2020-08-05,12.723555564880371,43.60939407348633
2020-08-06,12.436070442199707,43.59144973754883
2020-08-07,12.074394226074219,43.106788635253906
2020-08-10,11.916740417480469,44.17482376098633
2020-08-11,11.86109733581543,43.250396728515625
2020-08-12,12.556626319885254,44.14788818359375
2020-08-13,12.436070442199707,43.58247375488281
2020-08-14,12.482439041137695,43.878639221191406
2020-08-17,12.788471221923828,43.91454315185547
2020-08-18,12.584449768066406,43.66324234008789
2020-08-19,12.491710662841797,43.37604904174805
2020-08-20,11.963109016418457,44.12993621826172
2020-08-21,11.675625801086426,44.228668212890625
2020-08-24,11.851824760437012,44.10301971435547
2020-08-25,11.916740417480469,44.36329650878906
2020-08-26,12.09294319152832,44.47099685668945
2020-08-27,11.629255294799805,44.33637237548828
2020-08-28,11.749812126159668,45.26078796386719
2020-08-31,11.313948631286621,45.72748565673828
2020-09-01,11.592158317565918,45.58388900756836
