,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,AMKR,INTC,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T
2020-09-01 00:00:00,388.8004150390625,47.021121978759766,65.7334976196289,23.0847225189209,26.238204956054688,69.26470947265625,114.32443237304688,60.58272933959961,11.592161178588867,45.583892822265625,40.40679168701172,23.779150009155277,15.440918922424316,47119.41015625,1673.21240234375
2020-09-02 00:00:00,387.01275634765625,46.1773567199707,64.25634765625,23.047548294067383,26.72484970092773,68.72776794433594,113.03018951416016,60.04817581176758,11.842549324035645,46.89423751831055,36.99969482421875,23.59081649780273,14.979848861694336,47293.265625,1723.4088134765625
2020-09-03 00:00:00,389.6941528320313,46.25406265258789,64.77335357666016,23.0103759765625,26.80595588684082,70.33857727050781,119.06997680664062,58.88997268676758,11.01718807220459,45.224884033203125,36.91183471679688,23.72958755493164,14.440300941467283,49031.98828125,1732.9698486328125
2020-09-04 00:00:00,383.4375915527344,45.64040756225586,63.96091842651367,23.159069061279297,26.56263542175293,67.74337768554688,117.7757339477539,59.691802978515625,10.664786338806152,44.9466667175293,37.30232620239258,23.99721336364746,14.616880416870115,48336.515625,1677.992919921875
2020-09-07 00:00:00,380.756103515625,46.7910041809082,64.69949340820312,23.344934463500977,26.238204956054688,64.52176666259766,109.1474838256836,57.0190315246582,,,35.43770217895508,23.739501953125,14.567829132080078,49118.93359375,1666.0413818359375
2020-09-08 00:00:00,385.2252502441406,47.09783554077149,65.06877899169922,23.23341560363769,26.80595588684082,65.50616455078125,110.44171905517578,57.0190315246582,9.950709342956545,43.89659881591797,34.5297966003418,22.807762145996094,14.204858779907228,51031.53125,1713.84765625
2020-09-09 00:00:00,381.6500549316406,47.55807876586914,64.6256332397461,23.19624328613281,26.80595588684082,66.13258361816406,113.89301300048828,57.37540435791016,10.340205192565918,44.533817291259766,33.18258285522461,21.420066833496094,13.616260528564451,50770.7265625,1668.431640625
2020-09-10 00:00:00,388.8004150390625,46.94441986083984,64.92105865478516,22.89885711669922,26.60318756103516,65.23768615722656,108.71607208251952,56.306297302246094,10.173280715942385,43.94147109985352,33.48521041870117,21.003759384155277,13.341581344604492,51466.22265625,1694.7249755859375
2020-09-11 00:00:00,390.1409912109375,47.021121978759766,65.7334976196289,22.712987899780277,26.44097328186035,64.70075988769531,106.12759399414062,55.41537094116211,10.089816093444824,44.22867202758789,35.29126739501953,21.63813591003418,13.812459945678713,51292.32421875,1680.3831787109375
2020-09-14 00:00:00,394.1631164550781,47.25124740600586,66.3243637084961,23.047548294067383,26.765403747558597,68.01185607910156,108.2846450805664,58.26632690429688,10.701884269714355,44.345340728759766,35.135066986083984,22.153562545776367,13.979229927062988,52509.44921875,1723.4088134765625
2020-09-15 00:00:00,397.73828125,47.55807876586914,66.2505111694336,23.456457138061523,28.34699440002441,68.28032684326172,111.73595428466795,61.20636367797852,10.581323623657228,44.8748664855957,35.37913131713867,22.07426643371582,13.930180549621582,53031.06640625,1709.066650390625
2020-09-16 00:00:00,409.3576965332031,47.86489486694336,66.61979675292969,23.30776023864746,28.14422416687012,69.712158203125,114.7558364868164,61.65182495117188,10.65551471710205,45.206939697265625,35.03744125366211,21.935495376586918,13.694741249084473,53031.06640625,1721.0181884765625
2020-09-17 00:00:00,403.0667724609375,47.7881965637207,66.61979675292969,23.0103759765625,27.94145774841309,71.77040100097656,117.34432983398438,60.58272933959961,10.646241188049316,45.16206741333008,35.29126739501953,22.163476943969727,13.88113021850586,51727.0234375,1742.53125
2020-09-18 00:00:00,399.0226440429688,47.86489486694336,66.102783203125,23.270586013793945,27.657581329345703,69.98062133789062,116.05008697509766,61.38455581665039,10.432944297790527,44.77614212036133,36.11130905151367,22.431100845336918,14.067520141601562,51553.1484375,1747.311767578125
2020-09-21 00:00:00,395.4277648925781,47.32795715332031,65.955078125,22.67581367492676,27.089832305908203,70.60704803466797,112.16737365722656,60.67181396484375,10.349479675292969,44.623573303222656,36.63848114013672,23.85844612121582,14.165620803833008,51466.22265625,
2020-09-22 00:00:00,392.7317504882813,46.33076858520508,65.06877899169922,22.41559791564941,26.968172073364254,69.26470947265625,109.57888793945312,59.1572494506836,10.488585472106934,44.829986572265625,35.6817626953125,23.11503791809082,13.87132167816162,50596.8515625,
2020-09-23 00:00:00,389.5862731933594,45.94723892211914,63.73933792114258,22.11821174621582,26.643739700317383,69.17521667480469,110.44171905517578,57.90995788574219,10.117636680603027,43.81582260131836,35.82820129394531,22.728466033935547,13.98904037475586,50944.6015625,1737.750244140625
2020-09-24 00:00:00,380.1498718261719,44.64322280883789,62.779178619384766,22.22973251342773,25.792116165161133,66.04309844970703,103.1076889038086,57.82086944580078,10.126907348632812,44.12096786499024,35.44746780395508,23.303367614746094,13.655502319335938,50249.1015625,1673.21240234375
2020-09-25 00:00:00,381.0486145019531,45.18016815185547,61.89289474487305,22.67581367492676,25.062150955200195,64.87973022460938,97.49932861328124,55.682655334472656,10.117636680603027,44.82101058959961,35.75010299682617,22.88705825805664,13.50835132598877,50336.0390625,1661.2608642578125
2020-09-28 00:00:00,387.788818359375,46.1773567199707,63.00075912475586,22.78733253479004,25.75156021118164,69.35418701171875,103.97051239013672,59.1572494506836,10.460762977600098,46.158294677734375,34.11977005004883,21.796728134155277,13.066900253295898,50908.09765625,1701.89599609375
2020-09-29 00:00:00,387.3395690917969,44.95004653930664,63.07461166381836,22.60146713256836,26.27876091003418,66.31155395507812,100.08779907226562,57.82086944580078,10.442218780517578,45.94288635253906,35.047203063964844,22.52031135559082,13.51816177368164,50908.09765625,1728.3004150390625
2020-09-30 00:00:00,389.1368713378906,45.41028594970703,63.73933792114258,22.67581367492676,26.48152732849121,66.58003234863281,101.81346130371094,58.71178817749024,10.386573791503906,46.47240829467773,34.939823150634766,22.668991088867188,13.429871559143066,,1704.2965087890625
2020-10-01 00:00:00,,,,,,,,,10.609145164489746,46.8852653503418,,,,,
2020-10-02 00:00:00,,,,,,,,,10.340205192565918,45.781341552734375,,,,,1725.900146484375
2020-10-05 00:00:00,388.6875305175781,46.40747833251953,63.517765045166016,22.75016212463379,26.84650611877441,69.98062133789062,103.1076889038086,59.33543395996094,10.65551471710205,46.391639709472656,,,,51345.453125,1704.2965087890625
2020-10-06 00:00:00,394.9784851074219,46.1773567199707,64.47791290283203,22.63863754272461,27.008724212646484,69.5331802368164,104.83334350585938,59.24634552001953,10.590598106384276,46.10444259643555,,,,51607.875,1737.9022216796875
2020-10-07 00:00:00,398.1238098144531,46.10064697265625,64.25634765625,22.3784236907959,27.17094039916992,70.696533203125,104.83334350585938,59.7808952331543,10.99864101409912,47.27118682861328,,,,52395.11328125,1752.304931640625
2020-10-08 00:00:00,407.1109008789063,47.17454147338867,64.3302001953125,22.861682891845703,26.968172073364254,75.88691711425781,109.57888793945312,60.67181396484375,11.378865242004396,47.89942932128906,,,,52220.16015625,1785.9105224609375
2020-10-09 00:00:00,,,,,,,,,11.768360137939451,47.40580749511719,35.90629959106445,23.015914916992188,13.655502319335938,,1821.916748046875
2020-10-12 00:00:00,413.40185546875,47.63477325439453,65.7334976196289,22.861682891845703,27.008724212646484,76.24486541748047,107.4218292236328,60.93909454345703,11.907464981079102,48.3571662902832,38.220001220703125,24.20536994934082,14.204858779907228,52832.46875,1819.5164794921875
2020-10-13 00:00:00,415.1992492675781,47.40465927124024,65.5857925415039,22.48994827270508,27.21149063110352,76.51333618164062,106.12759399414062,59.959083557128906,11.85182285308838,48.312278747558594,38.41524887084961,24.93886375427246,14.214669227600098,53269.83203125,1896.329833984375
2020-10-14 00:00:00,412.5031433105469,46.71430206298828,66.02893829345703,22.63863754272461,27.90090560913086,76.60283660888672,110.0102996826172,64.4136962890625,11.861099243164062,48.060977935791016,37.39019393920898,24.631591796875,13.930180549621582,53269.83203125,1927.5352783203125
2020-10-15 00:00:00,407.1109008789063,47.021121978759766,64.99491882324219,22.712987899780277,27.49536895751953,76.51333618164062,110.44171905517578,64.8591537475586,11.963109016418455,48.33023071289063,36.92159271240234,24.66132354736328,13.85170078277588,52482.5859375,1941.9376220703125
2020-10-16 00:00:00,403.51611328125,46.94441986083984,64.99491882324219,22.52712059020996,27.008724212646484,74.90251922607422,107.4218292236328,62.45365905761719,11.87037181854248,48.60845947265625,37.273040771484375,24.235105514526367,14.352010726928713,52045.2265625,1946.7384033203125
2020-10-19 00:00:00,411.1549987792969,47.48136901855469,65.43806457519531,22.67581367492676,27.130386352539062,76.51333618164062,109.1474838256836,64.50279235839844,11.777634620666504,48.98540496826172,36.95088195800781,24.15580940246582,14.332388877868652,52482.5859375,2004.3482666015625
2020-10-20 00:00:00,405.3134765625,47.48136901855469,63.22232437133789,23.0103759765625,27.252042770385746,78.75057220458984,112.16737365722656,63.70096206665039,12.194951057434082,47.95327758789063,36.87278366088867,24.423433303833008,14.361820220947266,53269.83203125,2045.15576171875
2020-10-21 00:00:00,407.1109008789063,49.16891098022461,61.302024841308594,22.973201751708984,27.53592300415039,77.31874084472656,108.2846450805664,63.96823501586914,12.204225540161133,48.01610565185547,35.701290130615234,24.076513290405277,14.018470764160156,53269.83203125,2085.962890625
2020-10-22 00:00:00,408.908203125,49.39903259277344,60.9327392578125,23.159069061279297,27.333154678344727,78.1241455078125,104.83334350585938,61.38455581665039,12.157855987548828,48.37510681152344,35.17411804199219,23.987302780151367,14.185240745544434,52570.0390625,2045.15576171875
2020-10-23 00:00:00,406.2121887207031,50.0126838684082,64.99491882324219,23.12189483642578,27.698137283325195,76.1553726196289,104.40192413330078,60.404544830322266,12.315508842468262,43.25938034057617,34.471221923828125,24.03686141967773,13.979229927062988,52657.52734375,1973.1431884765625
2020-10-26 00:00:00,404.4147644042969,50.8564567565918,63.591609954833984,22.824506759643555,27.77924156188965,76.42383575439453,102.67627716064452,59.42452621459961,12.417522430419922,41.93106842041016,34.13929748535156,24.71088981628418,13.655502319335938,52832.46875,1946.7384033203125
2020-10-27 00:00:00,401.7187194824219,49.39903259277344,64.25634765625,22.56429481506348,28.10367202758789,73.02325439453125,104.40192413330078,60.04817581176758,10.432944297790527,40.9617805480957,34.910526275634766,24.879392623901367,14.018470764160156,52307.640625,1994.7469482421875
2020-10-28 00:00:00,399.0226440429688,48.4018440246582,63.07461166381836,22.60146713256836,27.819795608520508,67.02748107910156,95.77367401123048,58.62269592285156,10.720428466796877,39.71425247192383,34.80314636230469,24.532468795776367,14.077330589294434,51607.875,2083.56201171875
2020-10-29 00:00:00,392.7317504882813,47.94160842895508,62.40989303588867,22.48994827270508,27.657581329345703,60.763221740722656,98.79357147216795,61.38455581665039,10.905905723571776,39.58860778808594,35.310791015625,24.15580940246582,14.057710647583008,50820.640625,2133.97119140625
2020-10-30 00:00:00,388.2382507324219,48.47854995727539,62.33603286743164,22.26690673828125,27.04927635192871,61.03168487548828,99.65638732910156,61.5627326965332,10.989368438720703,39.74118423461914,36.14059829711914,24.691062927246094,14.10676097869873,49508.57421875,2028.3529052734373
2020-11-02 00:00:00,391.3836364746094,51.239994049072266,61.819034576416016,22.34125328063965,26.72484970092773,58.347015380859375,100.51921081542967,64.4136962890625,10.9522705078125,39.90273284912109,37.5952033996582,25.513769149780277,14.31277084350586,50208.33203125,1961.14111328125
2020-11-03 00:00:00,396.3265075683594,51.239994049072266,63.07461166381836,22.48994827270508,26.80595588684082,59.33139801025391,101.81346130371094,65.30461120605469,11.276853561401367,40.25275039672852,37.32185363769531,25.355173110961918,14.391249656677246,51432.9375,
2020-11-04 00:00:00,404.4147644042969,52.16046905517578,63.22232437133789,23.0847225189209,27.04927635192871,61.568626403808594,108.2846450805664,69.491943359375,11.564340591430664,41.01563262939453,37.45853042602539,25.999460220336918,14.126379013061523,51170.515625,2049.95654296875
2020-11-05 00:00:00,405.3134765625,52.31388473510742,63.591609954833984,23.716670989990234,27.576475143432617,61.568626403808594,110.0102996826172,69.75923156738281,12.046571731567385,41.29587173461914,37.839263916015625,26.058937072753903,14.352010726928713,52745.0,2155.57470703125
2020-11-06 00:00:00,406.6615295410156,52.697410583496094,63.517765045166016,23.67949485778809,27.53592300415039,61.568626403808594,109.1474838256836,68.77921295166016,11.786907196044922,41.03371047973633,40.17249298095703,26.604101181030277,15.333008766174316,52570.0390625,2088.363037109375
2020-11-09 00:00:00,412.0537414550781,53.84801483154297,64.25634765625,23.753847122192383,28.22533226013184,62.195045471191406,108.2846450805664,69.31375885009766,11.88891887664795,41.22355270385742,44.19462203979492,27.843114852905277,16.38267707824707,52657.52734375,2131.570556640625
2020-11-10 00:00:00,405.3134765625,54.84519577026367,65.5857925415039,23.902538299560547,28.0631160736084,63.984840393066406,113.03018951416016,69.58103942871094,11.833274841308594,41.07891082763672,43.66744995117188,26.68339729309082,15.59787654876709,52657.52734375,1994.7469482421875
2020-11-11 00:00:00,410.7057189941406,54.84519577026367,66.98908233642578,24.051231384277344,28.184776306152344,66.49053192138672,112.16737365722656,69.491943359375,12.315508842468262,41.90157699584961,40.72895431518555,25.137109756469727,14.970038414001465,53619.7109375,2018.751220703125
2020-11-12 00:00:00,411.60443115234375,55.22872924804688,66.3243637084961,23.902538299560547,28.22533226013184,64.96922302246094,114.7558364868164,68.60102081298828,12.185681343078612,40.63594055175781,40.67037582397461,24.92895126342773,15.126999855041504,53357.2890625,2081.161865234375
2020-11-13 00:00:00,415.1992492675781,54.0781364440918,66.3243637084961,23.902538299560547,28.22533226013184,66.31155395507812,115.18726348876952,67.7101058959961,12.33405876159668,41.09699249267578,42.06640625,25.256053924560547,15.244718551635742,55281.6484375,2066.75927734375
2020-11-16 00:00:00,434.9705810546875,55.15202331542969,67.7276611328125,24.16275405883789,28.50921058654785,66.75900268554688,116.05008697509766,67.17554473876953,12.723555564880373,41.75692367553711,41.46113204956055,24.720800399780277,15.08775806427002,57993.25390625,2131.570556640625
2020-11-17 00:00:00,436.3186340332031,55.22872924804688,67.13680267333984,24.19992446899414,28.67142105102539,66.75900268554688,124.24691772460938,69.84832000732422,12.510257720947266,41.160282135009766,43.04265213012695,24.978513717651367,15.382058143615724,57468.41796875,2114.767333984375
2020-11-18 00:00:00,446.6536865234375,55.99580001831055,67.21066284179688,24.16275405883789,28.468652725219727,67.56441497802734,121.22705078125,68.77921295166016,12.500985145568848,40.735382080078125,42.4666633605957,24.691062927246094,15.146618843078612,56681.18359375,2097.96533203125
2020-11-19 00:00:00,440.36279296875,55.919090270996094,66.102783203125,24.051231384277344,28.265884399414062,67.02748107910156,117.7757339477539,67.35372924804688,12.528807640075684,41.24163055419922,41.76376724243164,24.65141487121582,14.98965835571289,56506.24609375,2073.960205078125
2020-11-20 00:00:00,438.5653991699219,55.919090270996094,66.76751708984375,24.16275405883789,28.54976272583008,67.74337768554688,119.06997680664062,66.99736022949219,12.51953125,41.03371047973633,40.97301864624024,24.720800399780277,14.940608978271484,56593.72265625,2119.568359375
2020-11-23 00:00:00,446.2042236328125,56.6861572265625,67.28451538085938,25.2036075592041,30.090797424316406,70.42806243896484,119.93280792236328,68.60102081298828,12.973946571350098,41.639404296875,41.83210754394531,24.43334579467773,15.107378959655762,59042.90234375,
2020-11-24 00:00:00,442.1601257324219,56.30261993408203,67.3583755493164,25.2036075592041,30.33412170410156,73.38121032714844,131.58094787597656,75.46112060546875,13.33561897277832,42.49821853637695,42.65214920043945,25.870603561401367,15.362439155578612,59217.84375,2215.585205078125
2020-11-25 00:00:00,437.6667175292969,55.61226272583008,66.47208404541016,25.054914474487305,29.847475051879883,74.36559295654297,129.42388916015625,74.83747863769531,13.224334716796877,42.53439331054688,43.81388473510742,26.058937072753903,15.578258514404297,58255.66015625,2261.193603515625
2020-11-26 00:00:00,439.464111328125,56.37932968139648,67.28451538085938,25.42665100097656,30.009693145751957,80.1823959350586,142.36627197265625,82.32122039794922,,,42.710731506347656,26.594188690185547,15.499778747558594,59480.2578125,2362.0107421875
2020-11-27 00:00:00,439.464111328125,57.06968688964844,67.21066284179688,25.947078704833984,30.131357192993164,80.8983154296875,147.54322814941406,81.07393646240234,13.576740264892578,42.8960075378418,41.90044403076172,26.64374542236328,15.440918922424316,59655.1953125,2376.4130859375
2020-11-30 00:00:00,431.8251647949219,58.757232666015625,67.94923400878906,26.31881523132324,30.293567657470703,80.45086669921875,156.17147827148438,80.8066635131836,13.669473648071287,43.709617614746094,43.01336669921875,26.217529296875,15.676358222961426,58343.1328125,2347.608154296875
2020-12-01 00:00:00,440.36279296875,58.83393478393555,68.68780517578125,26.430334091186523,31.14519500732422,75.79742431640625,150.99452209472656,76.4411392211914,13.947687149047852,44.80349349975586,43.9212760925293,26.832077026367188,15.794079780578612,59305.3125,2410.018798828125
2020-12-02 00:00:00,448.4510803222656,59.29418182373047,73.41471862792969,26.355987548828125,31.14519500732422,76.24486541748047,153.15159606933594,77.33206176757812,13.854951858520508,45.11086654663086,45.01466369628906,27.595308303833008,15.970657348632812,60792.3125,2400.417236328125
2020-12-03 00:00:00,446.6536865234375,59.75442123413086,73.2669906616211,25.947078704833984,30.73966217041016,74.90251922607422,148.4060516357422,77.59934997558594,13.780760765075684,46.09625244140625,43.78460311889648,28.45766258239746,16.039329528808594,60967.26953125,2371.6123046875
2020-12-04 00:00:00,452.04583740234375,61.05842590332031,74.596435546875,26.467506408691406,31.510177612304688,72.75479888916016,146.24900817871094,76.53023529052734,14.36500358581543,47.000274658203125,43.38434219360352,29.25063133239746,15.676358222961426,62541.75,2376.4130859375
2020-12-07 00:00:00,461.93157958984375,60.44477844238281,74.22714233398438,26.72772216796875,32.037376403808594,73.38121032714844,148.83746337890625,76.17385864257812,14.36500358581543,45.3820686340332,43.35504913330078,28.398191452026367,15.539018630981444,63766.3203125,2359.6103515625
2020-12-08 00:00:00,470.9185485839844,60.981727600097656,72.97157287597656,26.72772216796875,31.63184356689453,75.61844635009766,155.3086700439453,77.24295806884766,14.272266387939451,45.82503890991211,43.04265213012695,29.072216033935547,15.254528999328612,62716.6875,2419.62109375
2020-12-09 00:00:00,467.3237609863281,60.981727600097656,74.22714233398438,26.87641143798828,33.29453659057617,74.45507049560547,152.72018432617188,76.35204315185547,13.73439121246338,45.26454544067383,40.78752517700195,27.109617233276367,14.665929794311523,64641.0390625,2414.8203125
2020-12-10 00:00:00,460.1341247558594,61.825496673583984,72.897705078125,26.61620140075684,32.52401351928711,73.5601806640625,153.5830078125,75.01567077636719,13.99405574798584,45.436302185058594,40.81681060791016,27.129444122314453,14.597260475158691,63766.3203125,2414.8203125
2020-12-11 00:00:00,463.72900390625,60.44477844238281,70.97740936279297,26.28163719177246,31.99682235717773,73.02325439453125,149.70028686523438,74.48110961914062,13.752938270568848,44.957176208496094,39.11814880371094,26.504980087280277,13.910560607910156,64203.68359375,2429.22265625
2020-12-14 00:00:00,456.5394287109375,59.064056396484375,71.27283477783203,26.355987548828125,32.037376403808594,74.99201965332031,160.48562622070312,76.88660430908203,13.89204216003418,45.626163482666016,39.63555908203125,26.653657913208008,13.900751113891602,64553.5859375,2398.017333984375
2020-12-15 00:00:00,452.9444885253906,59.5242919921875,70.97740936279297,25.798383712768555,30.942428588867188,76.78181457519531,150.56312561035156,74.83747863769531,14.43919277191162,45.80696487426758,40.05533599853516,25.959814071655277,13.694741249084473,64553.5859375,2410.018798828125
2020-12-16 00:00:00,460.1341247558594,60.36806488037109,70.9035415649414,26.0585994720459,31.34796524047852,77.58719635009766,152.2887725830078,75.46112060546875,14.327911376953123,46.21378326416016,37.731876373291016,25.474119186401367,13.55739974975586,64553.5859375,2388.41552734375
2020-12-17 00:00:00,458.7794799804688,60.981727600097656,71.56826782226562,25.83555793762207,31.064083099365234,76.96077728271484,152.2887725830078,74.83747863769531,14.300015449523926,45.78888320922852,38.10285186767578,25.84086799621582,13.665311813354492,64116.21484375,2448.42578125
2020-12-18 00:00:00,460.585693359375,60.52148818969727,70.82968139648438,25.2779541015625,30.73966217041016,76.60283660888672,149.26889038085938,75.19385528564453,14.216337203979492,42.9050407409668,37.28280258178711,25.256053924560547,13.675121307373049,63853.7890625,2398.017333984375
2020-12-21 00:00:00,466.00439453125,60.981727600097656,69.57410430908203,25.42665100097656,30.73966217041016,75.5289535522461,152.72018432617188,73.23381805419922,13.946698188781738,41.91060256958008,38.3371467590332,25.771482467651367,13.85170078277588,63853.7890625,2330.805419921875
2020-12-22 00:00:00,459.6825866699219,59.98453521728516,69.35253143310547,25.017742156982425,30.090797424316406,73.470703125,146.680419921875,71.27378845214844,13.937399864196776,41.73884582519531,37.48781967163086,24.572120666503903,13.390631675720217,63241.5,2217.98583984375
2020-12-23 00:00:00,459.6825866699219,59.217472076416016,69.42638397216797,24.94339370727539,30.41522979736328,77.13976287841797,152.2887725830078,73.0556411743164,13.983890533447266,42.10046005249024,40.2310676574707,25.513769149780277,13.812459945678713,64641.0390625,2232.387939453125
2020-12-24 00:00:00,460.585693359375,61.74878692626953,70.09111022949219,25.054914474487305,30.73966217041016,75.61844635009766,147.97462463378906,73.50109100341797,13.937399864196776,42.55247497558594,39.81127548217773,24.77035903930664,13.429871559143066,68052.4140625,2265.994140625
2020-12-25 00:00:00,461.4888305664063,62.05561447143555,69.7218246459961,25.724040985107425,31.18574905395508,75.1709976196289,145.38616943359375,72.52108001708984,,,40.09439086914063,24.74062156677246,13.547592163085938,,2268.39453125
2020-12-28 00:00:00,465.1012878417969,62.66926956176758,70.75582885742188,26.021427154541016,31.2668571472168,76.33436584472656,149.70028686523438,71.7192611694336,14.141952514648438,42.55247497558594,38.63978958129883,23.620555877685547,13.086522102355955,68839.65625,2306.801513671875
2020-12-29 00:00:00,465.1012878417969,61.90219497680664,70.01725006103516,25.612520217895508,30.86132049560547,76.69231414794922,150.99452209472656,71.63016510009766,13.76074504852295,44.649810791015625,38.766700744628906,23.769237518310547,13.145381927490234,70213.4296875,2321.203369140625
2020-12-30 00:00:00,474.1324157714844,62.66926956176758,69.42638397216797,25.724040985107425,30.942428588867188,77.76618957519531,153.5830078125,71.7192611694336,14.086167335510254,44.071231842041016,40.1431999206543,24.591941833496094,13.115951538085938,72634.6015625,2311.60205078125
2020-12-31 00:00:00,478.6477966308594,62.36244583129883,70.09111022949219,25.83555793762207,31.34796524047852,78.21363067626953,157.03431701660156,72.07563018798828,14.02108383178711,45.038536071777344,41.55876159667969,25.01816177368164,13.361200332641602,,
2021-01-04 00:00:00,484.0665588378906,64.35681915283203,69.8695297241211,25.9842529296875,31.63184356689453,80.98780822753906,172.56517028808594,75.72840118408203,13.86302089691162,44.902931213378906,41.51970672607422,25.206493377685547,13.577020645141602,74428.0234375,2280.396484375
2021-01-05 00:00:00,489.4853210449219,66.42788696289062,69.94338989257812,26.09577178955078,32.24014663696289,84.38838958740234,180.33059692382807,76.4411392211914,14.383697509765623,45.75271987915039,43.23789978027344,26.80234146118164,14.25390911102295,75235.0859375,2318.8037109375
2021-01-06 00:00:00,495.8070983886719,67.88532257080078,69.7218246459961,25.798383712768555,31.59128189086914,81.52472686767578,177.3107147216797,75.72840118408203,14.904372215270996,46.1956901550293,41.383033752441406,26.81225204467773,13.792840957641602,73710.640625,2251.591796875
2021-01-07 00:00:00,510.2567138671875,68.57567596435547,70.9035415649414,26.132946014404297,31.550731658935547,82.41963195800781,183.3505096435547,78.57936096191406,15.611006736755373,47.18107604980469,41.148738861083984,26.832077026367188,13.606451988220217,74338.375,2241.989990234375
2021-01-08 00:00:00,523.8034057617188,67.50177764892578,70.9035415649414,26.39316177368164,31.2668571472168,80.71932220458984,186.37039184570312,76.79750061035156,15.499431610107422,46.692909240722656,41.031585693359375,26.673484802246094,13.812459945678713,79629.03125,2345.20849609375
2021-01-11 00:00:00,527.4158325195312,69.34273529052734,71.56826782226562,26.72772216796875,32.72678756713867,84.92533111572266,190.6845245361328,79.02481842041016,15.889941215515137,46.59346771240234,42.48619842529297,27.169090270996094,13.85170078277588,81601.796875,
2021-01-12 00:00:00,533.7376098632812,70.72345733642578,72.23298645019531,26.579029083251957,32.72678756713867,88.95234680175781,191.5473480224609,80.1830062866211,16.410615921020508,48.13031005859375,43.16956329345703,27.06005477905273,13.64569091796875,81243.125,2352.408935546875
2021-01-13 00:00:00,546.3810424804688,76.39973449707031,72.60227966308594,27.06228256225586,32.7673454284668,87.34153747558594,189.8217010498047,79.38118743896484,16.17816734313965,51.48424530029297,45.26848983764648,28.05126571655273,14.675739288330078,80436.0703125,2350.0087890625
2021-01-14 00:00:00,534.6408081054688,75.93949890136719,72.97157287597656,27.06228256225586,33.05121994018555,86.53614807128906,193.2729949951172,78.13390350341797,17.424072265625,53.56350326538086,44.86823272705078,28.86406135559082,15.666547775268556,80436.0703125,2453.22705078125
2021-01-15 00:00:00,542.7686157226562,75.17243194580078,71.27283477783203,26.9135856628418,32.3618049621582,89.48928833007812,188.9588623046875,78.66845703125,16.773229598999023,52.05377578735352,43.931034088134766,26.64374542236328,14.911179542541504,78911.6484375,2414.8203125
2021-01-18 00:00:00,548.1873168945312,77.09010314941406,75.33502197265625,27.50836563110352,32.64568328857422,85.01482391357422,192.41018676757807,78.49026489257812,,,47.05501937866211,29.31010627746582,15.607687950134276,76221.46875,2434.0234375
2021-01-19 00:00:00,566.2495727539062,80.92543029785156,74.96572875976562,28.47487068176269,33.21343231201172,86.26766967773438,190.6845245361328,78.13390350341797,17.470569610595703,52.4244270324707,46.04948806762695,29.121774673461918,15.745028495788574,78014.921875,2486.83203125
2021-01-20 00:00:00,584.311767578125,80.15837097167969,73.85786437988281,28.995304107666016,34.06505584716797,82.68810272216797,186.8018035888672,77.68844604492188,17.238122940063477,53.03915786743164,46.44974899291992,29.815624237060547,15.107378959655762,78194.2890625,2438.824462890625
2021-01-21 00:00:00,607.7925415039062,80.92543029785156,73.85786437988281,28.995304107666016,33.74062728881836,85.5517578125,198.88137817382807,79.55937957763672,17.163740158081055,56.46541976928711,46.25450134277344,29.389402389526367,14.871939659118652,79001.34375,2438.824462890625
2021-01-22 00:00:00,586.117919921875,80.54190063476562,76.44288635253906,30.630935668945312,34.227272033691406,90.38417053222656,218.7263641357422,81.5194091796875,17.17303466796875,51.22206878662109,43.10122680664063,28.54687118530273,13.979229927062988,77835.578125,2482.031494140625
2021-01-25 00:00:00,571.6681518554688,78.2406997680664,76.44288635253906,30.29637336730957,35.524986267089844,85.6412353515625,201.4698486328125,78.31208801269531,16.58727264404297,50.11915969848633,44.85847091674805,28.943357467651367,14.145999908447266,80167.0625,2453.22705078125
2021-01-26 00:00:00,557.2183837890625,75.47926330566406,74.22714233398438,29.106821060180664,35.524986267089844,84.11992645263672,205.35255432128903,77.59934997558594,16.001514434814453,49.91123580932617,45.85424423217773,28.03144645690918,13.88113021850586,77745.9296875,2458.02783203125
