date,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2020-09-02,-0.004310858697941266,-0.017809714155848665,-0.022430510930301965,-0.0013140100607329668,0.018674906683311236,-0.007484598024516266,-0.011087730880235867,-0.008565061068495668,-0.08779059053666317,-0.0076540150847216664,-0.030017543078134565,0.003980514959992034,0.029856451657264135,0.024590132528043533,-0.0028475841961456668
2020-09-03,-0.0019998356789546236,-0.020743506882052724,-0.019010247788231623,-0.007521695854881024,0.017111640803106377,0.011088963150287876,0.03637515261488127,-0.03263492846298932,-0.09476156180261293,-0.006382360691679924,-0.07129398801525323,0.035491982264846476,0.03079533575056838,0.04136666061920548,0.020899343132376576
2020-09-04,-0.008733224514486385,-0.024647407787328487,-0.022180363645175987,0.008371461895899313,0.017445033738359816,-0.017052783140359885,0.034897993727843114,-0.009659108746502987,-0.0747861506371019,0.014284608957797412,-0.04968796286741549,0.030658312628730814,0.008009057657568912,-0.021423709444184886,-0.0058960448554902884
2020-09-07,-0.012854818715676038,0.003146360994777461,-0.007802981697305639,0.01926128466787016,0.008052299465967363,-0.06288059969341114,-0.038287974750966146,-0.05257246009023124,-0.12316929573876025,0.006383562513481858,-0.050153145693769344,0.04961185148565226,0.0037573090310383597,-0.05103673931055644,-0.009170651504374341
2020-09-09,-0.01782794221632655,0.01722199367131335,-0.01028569593589045,0.022011055864177547,0.012403302561714052,-0.049012280389893956,-0.003165398816042754,-0.041990839510592154,-0.15861578803692525,-0.05203817225346835,-0.08812151062888775,0.04883909281662285,-0.018748574284808448,-0.11598921469138992,-0.028459409877681047
2020-09-10,-0.005840539607815213,-0.002339970829128314,-0.012299413104958315,0.002533084084416084,-0.0017643884064549118,-0.06921117488103332,-0.05625991895411302,-0.0673748092809505,-0.1561116874842976,-0.07823955270613002,-0.11507527652987871,0.05587023954890218,-0.009686786009495213,-0.0841679759327403,-0.02062204683195891
2020-09-11,-0.0011528266500882038,0.0005382512589363958,0.0013828534091027958,-0.004371339305021506,-0.006634941554682603,-0.07622987584023501,-0.0791118089321072,-0.0820785183925972,-0.1023343347250537,-0.0472380200612751,-0.0791441088403003,0.0537312967378931,-0.016939744098416303,-0.09919728040034657,-0.0327666770755432
2020-09-14,0.00031714133715034145,-0.003366266657341358,0.0015448399928743419,0.0014644776802151408,-0.0032262852570389576,-0.035107445054972465,-0.06777720054435966,-0.04069785117271135,-0.11555686137900256,-0.03248367562162426,-0.07592920393913347,0.06839665257005784,-0.00044406332993825615,-0.11622208553498563,-0.03503862310295626
2020-09-15,0.004834437542366076,-0.001405728575272023,-0.004081369042252523,0.014538810067000474,0.049672489822823074,-0.035679887613043124,-0.04091410948850903,0.004016888033403984,-0.11314650025945883,-0.040581564357206924,-0.08395618960964263,0.07376933128717658,-0.01331294132756302,-0.06184095037942889,-0.03691632709656262
2020-09-16,0.023474786620748832,-0.005129835853329667,-0.008677551950208766,-0.0019754262737435684,0.03233885163984883,-0.02508161780754787,-0.02440072030308207,0.0011137690044380408,-0.13300618016053037,-0.05704274567917977,-0.11115681403767817,0.06361454706158494,-0.016499042844848964,-0.08332503573159324,-0.035200886157509166
2020-09-17,0.016035817741046593,0.0013146192866158937,-0.0006294200547484058,-0.006768413334667708,0.03315635728808679,0.01206392406659359,0.00595330402950439,-0.0083310720150025,-0.1177397373264232,-0.038654980614491706,-0.08959021124523721,0.0467651205264426,0.003971800820485498,-0.06828985669842078,-0.019780017636189404
2020-09-18,0.005728053834153986,0.0026946015788572864,-0.008644044518619514,0.0042528088139056845,0.022721015623549286,-0.013413553436895018,-0.005361110965852619,0.004593645043477992,-0.09499289614245263,-0.026875999974853012,-0.07647568121148521,0.04317436806717799,0.0064877829238599895,-0.06938423334206198,-0.02099680229837341
2020-09-23,0.0025721542662663008,-0.0007323563831397976,-0.024401399117068102,-0.004217340709305699,0.015503444465414103,-0.009820856725214204,0.007367686260276797,-0.01183057187896329,-0.0860117041485902,-0.0388556762035299,-0.0631394363099367,0.054909386698019605,0.005886194795519405,-0.05114733847968097,-0.011496240007221098
2020-09-24,0.003769894651368927,-0.0038060996795644675,-0.013862349071641772,0.02652952837167783,0.008735603688935036,-0.030438474991446272,-0.035628796855834484,0.01234735165510674,-0.07097770878406967,0.01184156151556593,-0.06155358430513947,0.06688075961106643,-0.006242241838773463,-0.06143729547846174,-0.008660995946631368
2020-09-25,0.008700527117479678,0.010718865037592782,-0.025511186980581323,0.04896695560933838,-0.017405245682903914,-0.045641516114806026,-0.08898802741291473,-0.02276447497682311,-0.059907136104023324,-0.003615469326845519,-0.06981877124164462,0.07117863796473889,-0.010841501044870909,-0.057952184248464884,0.000848379416367083
2020-09-28,0.00761936669129137,0.013935090649992874,-0.026384903326707534,0.035257761814696975,-0.00888391286858432,0.002434646980802469,-0.04334130033792734,0.019150859112862583,-0.12519840830692813,-0.07104231081303683,-0.12165965285533743,0.06386423028083148,-0.005290555661859615,-0.0774831577994177,-0.002024841165391724
2020-09-29,0.006061440663255874,-0.013401441709457219,-0.02561210645137653,0.026669027395128077,0.010983149116795585,-0.04282648820605393,-0.08179959804083603,-0.004097275643523812,-0.09877834460161304,-0.03878331981994852,-0.08810665444342383,0.06346546530315658,0.00970626452155449,-0.04453063139365569,0.02697605579488968
