date,2330.TW,3711.TW,6239.TW,2449.TW,3264.TWO,3037.TW,8046.TW,3189.TW,600584.SS,002156.SZ,002185.SZ,005930.KS,4062.T,AMKR,INTC
2020-09-02,,,,,,,,,,,,,,,
2020-09-03,,,,,,,,,,,,,,,
2020-09-04,,,,,,,,,,,,,,,
2020-09-07,,,,,,,,,,,,,,,
2020-09-09,,,,,,,,,,,,,,,
2020-09-10,,,,,,,,,,,,,,,
2020-09-11,,,,,,,,,,,,,,,
2020-09-14,,,,,,,,,,,,,,,
2020-09-15,,,,,,,,,,,,,,,
2020-09-16,,,,,,,,,,,,,,,
2020-09-17,,,,,,,,,,,,,,,
2020-09-18,,,,,,,,,,,,,,,
2020-09-23,,,,,,,,,,,,,,,
2020-09-24,,,,,,,,,,,,,,,
2020-09-25,,,,,,,,,,,,,,,
2020-09-28,,,,,,,,,,,,,,,
2020-09-29,,,,,,,,,,,,,,,
2020-10-12,,,,,,,,,,,,,,,
2020-10-13,,,,,,,,,,,,,,,
2020-10-14,,,,,,,,,,,,,,,
2020-10-15,0.014989853152834477,0.005768359287458178,0.01171585573694737,0.026075233319276383,0.016286026610550685,-0.022503581087234922,-0.05825108858491624,0.07582415225645447,0.021513591812388363,0.04253848763095159,-0.03920607300472044,0.06911529206178359,0.048264510376948594,-0.022996844546833088,0.037808181725667085
2020-10-16,0.009865593077468886,0.01312556754432749,0.01435156690090068,0.03012192128718829,0.006047610649668692,-0.05629869828214272,-0.12738253718845252,0.06815676718374108,0.04401428693120947,0.029888862512005496,0.04360837367713319,0.03529146307928891,0.05585071020828951,-0.025153806581071685,0.025703909919809288
2020-10-19,0.023039528593378558,0.016089223562431063,0.012003402152403154,0.00849439820142776,-0.002104649739351837,-0.01919272367558604,-0.12228206306452993,0.06515133404947986,0.0030447920162198494,-0.006368726105714231,0.008320926398662859,0.03618016668884999,0.09548728163026889,0.01754112788080549,0.04592631533506996
2020-10-20,0.016419235995231943,-0.00813694654739865,-0.033253024913729765,0.01581853813047835,0.015329798199768948,0.05902318050841705,-0.018236362766188847,0.09912343437377565,0.05287972846470562,0.016118065606187656,0.014405087205099247,0.03568297612412447,0.1234616287699574,0.04287858591707318,0.06049333762525485
2020-10-21,0.024661022396292382,0.011555365748941483,-0.06277109435670823,0.010295733468886289,0.02018557078723378,0.02564950141202839,-0.08974392476498211,0.09157259527110279,0.05488315302279495,0.059077375443871094,0.027019755324413877,0.035299549550144804,0.1645679398401578,0.14149453253128258,0.05733066808077848
2020-10-22,0.01399424797131743,0.03270220961031264,-0.06988405892067677,0.03474733740524044,0.023877812521831535,0.05312676880683513,-0.07212531110502109,0.07264377397907022,0.0344183271045478,0.07848215400065695,0.06271533246045413,0.011960164566752772,0.13266511019391025,0.10734909459258635,0.04771821242711563
2020-10-23,0.004102260187029159,0.043580555682124864,-0.017617092856839954,0.041456060303005256,0.04342386649034256,0.036032687629790464,-0.05198644156621396,0.07266431954757954,-0.038133967706043256,0.05095528478373577,0.01356553459603467,0.017172705736669396,0.10548267137733658,0.11998245411045785,0.06872247136000915
2020-10-26,-0.0025935964283592796,0.06342428481605493,-0.04039786075693119,0.02188383375116472,0.04214785159428152,-0.0023619684141750683,-0.08077928611748829,0.014135115946197312,-0.03537835929115549,0.06306519638871103,-0.013870710088279559,0.0050328630925275675,0.07472332160714552,0.1490998355812243,-0.04156807472275417
2020-10-27,-0.011160864968843543,0.03502637924844826,-0.021733796696008757,-1.7651090520742416e-05,0.0034991687084280562,-0.04466733329512525,-0.08833648751193675,-0.017500610783426754,-0.012810581266498144,0.08059779336995576,0.02302841782358927,-0.007684420510830209,0.11459292302034058,0.10560680776172734,-0.06823854255110734
2020-10-28,-0.030203753095848274,0.024688992963646936,-0.029368356501146192,0.024474059889549225,0.01701183611042563,-0.13460941159833967,-0.1847787020954388,-0.03229130334100999,0.010299932440267431,0.08934805110195054,0.06075042044820904,-0.0046663772027929346,0.16767219452601412,-0.04071772619110478,-0.08701014058167666
2020-10-29,-0.028376631436405744,0.01896991442805017,-0.03773151115155136,0.03460020133006175,0.020625880397218556,-0.2595934438000451,-0.17380852555569537,0.03346939318791205,0.019793815886247554,0.06576720499706037,0.048068629477756655,0.007090865754057596,0.18138657912369574,-0.018290791928221153,-0.12308082173924366
2020-10-30,-0.020328194821021023,0.037975867346108194,-0.021652773118658437,0.02286037003907128,0.01806987858270547,-0.2204592298143257,-0.14455022155138622,0.032691388651745465,0.029523486332761695,0.08515295490905209,0.04768552149294807,-0.006226810912551881,0.13735831437571377,0.009205196302546965,-0.11578448658384721
2020-11-02,-0.012681130522998414,0.0932238727796706,-0.01780161613455432,0.031085956224175086,0.009643147800724077,-0.27261475512154604,-0.15223618161781152,0.09080731037388166,0.05642404520100459,0.12633166865182718,0.04526941456830688,-0.0075045932420920725,0.10068443776316988,-0.00498573293841012,-0.1250162896127474
