ticker,name,tier,RS_latest,Momentum_latest(20d),RS_zscore_60d,Momentum_zscore_60d,quadrant
3711.TW,ASE 日月光,T1_OSAT,1.31270975807431,-0.01657830471395183,0.17805945356355599,-0.1126309663336469,轉弱(Weakening)
3037.TW,Unimicron 欣興,T3_Substrate,1.0724384608494621,-0.14025255822948912,-0.18777653599979327,-1.1592516424447046,落後(Lagging)
3264.TWO,Ardentec 欣銓,T1_OSAT,0.9795425600896591,0.08255535895642041,1.576083535894946,0.716248768663673,領先(Leading)
4062.T,Ibiden,T3_Substrate,0.9136330870008585,-0.03704187465828668,0.32296612036036504,-0.46075177630317626,轉弱(Weakening)
8046.TW,Nan Ya PCB 南電,T3_Substrate,0.9067401940547198,-0.14452418428209246,0.21317364079103504,-1.3449262405831823,轉弱(Weakening)
3189.TW,Kinsus 景碩,T3_Substrate,0.8551690156387687,-0.09362699602908531,0.4363937426887977,-1.6104340506080623,轉弱(Weakening)
2449.TW,KYEC 京元電子,T1_OSAT,0.7858428546986861,0.007689342364607499,-0.04150433564029455,0.958514763432271,轉強(Improving)
2330.TW,TSMC 台積電,T4_TSMC,0.3339663049804894,-0.026417791468437257,-1.740629045337514,-0.5247077020271269,落後(Lagging)
AMKR,Amkor,T1_OSAT,0.2649056924877088,-0.12955467471539073,-1.0865160804763558,0.009893040133039979,轉強(Improving)
6239.TW,Powertech 力成,T1_OSAT,0.05795089309390067,-0.03266167825945854,-0.28922577819475825,-0.293375334118112,落後(Lagging)
005930.KS,Samsung 三星,T2_IDM,0.02172585380807268,-0.0008151388294468376,-0.8248794059607869,0.48820744819074724,轉強(Improving)
002156.SZ,Tongfu 通富,T1_OSAT,-0.22126775661703568,-0.17990647747028965,-1.3937872081644773,-0.7144485767404587,落後(Lagging)
INTC,Intel 英特爾,T2_IDM,-0.39238766927559565,0.02805642220339477,-0.2276688551780458,0.9333160829276652,轉強(Improving)
600584.SS,JCET 長電,T1_OSAT,-0.5134277877028116,-0.24255742579381612,-1.5732176441478494,-0.9195042695841819,落後(Lagging)
002185.SZ,Huatian 華天,T1_OSAT,-0.9885465326184585,-0.18840742478825256,-1.235729214235868,-1.1165199943834603,落後(Lagging)
